time,bar,dining bar,izakaya,spain bar/italian bar,western food,sweet,creation,creative japanese,grilled meat,international cuisine,italian and franch,japanese cuisine/kaiseki,japanese food in general,japanese style,japanese food,shabu-shabu/sukiyaki,amusement,korean cuisine,okonomiyaki/monja/teppanyaki,seafood,other,asian
2016/1/1,0,2,0,1,0,0,2,0,7,9,3,1,2,29,1,1,0,0,1,7,0,0
2016/1/10,4,2,11,32,12,6,66,18,77,102,69,7,21,282,3,14,6,7,10,36,0,14
2016/1/11,6,3,7,27,9,5,51,9,51,79,43,5,8,149,1,10,9,7,9,23,0,6
2016/1/12,2,3,11,23,3,1,30,10,32,52,28,8,10,144,5,7,5,8,5,23,0,7
2016/1/13,4,2,11,29,3,2,47,7,32,63,47,11,7,184,6,11,9,6,6,35,0,11
2016/1/14,4,2,9,35,5,2,40,6,45,62,40,9,12,199,7,10,5,10,6,31,0,9
2016/1/15,9,4,19,48,10,6,101,24,90,148,87,11,27,495,6,21,11,19,12,73,0,29
2016/1/16,10,3,12,50,15,7,124,22,84,156,98,14,31,472,7,21,17,17,17,74,0,22
2016/1/17,5,1,8,26,10,7,48,9,59,81,51,7,14,180,3,11,13,5,6,27,0,10
2016/1/18,0,2,12,14,7,7,33,6,33,45,33,6,8,168,5,10,4,2,4,29,0,16
2016/1/19,2,3,12,22,2,2,36,9,39,74,45,13,12,208,6,10,6,6,6,28,0,12
2016/1/2,3,1,2,10,2,1,35,5,26,39,18,1,4,109,2,2,1,3,4,21,0,3
2016/1/20,4,1,16,44,5,3,53,13,51,91,48,5,19,252,7,12,7,12,9,30,0,12
2016/1/21,5,3,13,27,7,4,56,10,44,79,51,6,19,217,6,14,4,7,7,50,0,17
2016/1/22,12,5,14,56,9,8,129,22,95,155,86,14,27,555,7,22,11,11,16,95,0,25
2016/1/23,13,5,16,62,12,10,149,17,80,163,99,14,32,523,6,18,20,18,12,77,0,25
2016/1/24,3,3,9,24,7,4,41,14,53,73,54,8,16,172,1,12,11,9,13,31,0,16
2016/1/25,4,3,11,19,7,6,35,3,40,64,39,7,6,199,7,6,4,11,8,26,0,7
2016/1/26,4,4,14,24,6,4,49,7,35,65,40,8,16,212,6,10,4,10,6,30,0,13
2016/1/27,7,1,9,32,6,3,64,11,54,92,64,13,18,271,7,10,10,13,13,49,0,16
2016/1/28,3,4,16,24,9,3,60,7,54,81,59,9,19,272,8,8,6,13,11,28,0,12
