,visit_date,Fukuoka-ken_visitors,Hiroshima-ken_visitors,Hokkaid身_visitors,Hy身go-ken_visitors,Kanagawa-ken_visitors,Miyagi-ken_visitors,Niigata-ken_visitors,None_visitors,Osaka_visitors,Saitama-ken_visitors,Shizuoka-ken_visitors,T身ky身-to_visitors,?saka-fu_visitors
0,2016-01-01,57.0,17.0,18.0,10.0,,4.0,10.0,23.0,2.0,,18.0,73,33.0
1,2016-01-02,252.0,170.0,291.0,143.0,13.0,56.0,75.0,23.0,25.0,7.0,151.0,331,151.0
2,2016-01-03,197.0,160.0,178.0,158.0,12.0,28.0,112.0,9.0,20.0,,136.0,404,197.0
3,2016-01-04,229.0,121.0,77.0,118.0,7.0,49.0,44.0,13.0,64.0,,97.0,443,107.0
4,2016-01-05,127.0,81.0,52.0,102.0,11.0,43.0,34.0,32.0,26.0,7.0,60.0,593,168.0
5,2016-01-06,233.0,75.0,112.0,154.0,,77.0,107.0,30.0,46.0,5.0,52.0,760,198.0
6,2016-01-07,284.0,108.0,142.0,175.0,2.0,46.0,98.0,57.0,88.0,,89.0,744,187.0
7,2016-01-08,517.0,273.0,428.0,431.0,57.0,131.0,139.0,99.0,173.0,10.0,256.0,2490,651.0
8,2016-01-09,666.0,417.0,501.0,541.0,33.0,246.0,283.0,138.0,111.0,22.0,428.0,1961,645.0
9,2016-01-10,680.0,297.0,314.0,500.0,44.0,222.0,207.0,80.0,117.0,12.0,310.0,1585,615.0
10,2016-01-11,243.0,187.0,109.0,301.0,22.0,83.0,50.0,50.0,101.0,9.0,109.0,1125,547.0
11,2016-01-12,283.0,166.0,191.0,176.0,25.0,62.0,27.0,70.0,70.0,,145.0,896,296.0
12,2016-01-13,312.0,124.0,238.0,223.0,27.0,134.0,86.0,83.0,60.0,,117.0,1544,397.0
13,2016-01-14,216.0,184.0,239.0,250.0,68.0,111.0,84.0,58.0,103.0,9.0,134.0,1790,294.0
14,2016-01-15,785.0,650.0,485.0,891.0,94.0,304.0,325.0,344.0,368.0,15.0,472.0,4500,1103.0
15,2016-01-16,1057.0,480.0,590.0,702.0,31.0,375.0,364.0,170.0,340.0,3.0,749.0,3479,1051.0
16,2016-01-17,336.0,215.0,105.0,279.0,26.0,95.0,95.0,57.0,130.0,29.0,264.0,1471,419.0
17,2016-01-18,357.0,179.0,97.0,205.0,21.0,57.0,105.0,83.0,61.0,10.0,164.0,1174,325.0
18,2016-01-19,332.0,183.0,295.0,250.0,27.0,155.0,97.0,56.0,62.0,,136.0,1476,474.0
19,2016-01-20,387.0,166.0,159.0,272.0,47.0,114.0,150.0,94.0,131.0,8.0,148.0,2348,596.0
20,2016-01-21,285.0,211.0,168.0,294.0,82.0,181.0,196.0,175.0,95.0,7.0,209.0,1813,467.0
21,2016-01-22,1058.0,617.0,628.0,894.0,86.0,463.0,303.0,286.0,370.0,31.0,723.0,5163,1194.0
22,2016-01-23,1146.0,785.0,783.0,994.0,75.0,451.0,473.0,181.0,347.0,37.0,805.0,3971,1492.0
23,2016-01-24,303.0,140.0,133.0,361.0,21.0,122.0,96.0,115.0,141.0,,180.0,1645,478.0
24,2016-01-25,354.0,163.0,208.0,235.0,14.0,131.0,68.0,113.0,126.0,19.0,77.0,1372,323.0
25,2016-01-26,423.0,212.0,155.0,245.0,56.0,94.0,144.0,57.0,61.0,24.0,215.0,1756,402.0
26,2016-01-27,462.0,287.0,211.0,331.0,60.0,180.0,166.0,210.0,144.0,21.0,225.0,2752,540.0
27,2016-01-28,350.0,257.0,234.0,266.0,17.0,203.0,121.0,75.0,166.0,12.0,200.0,2326,447.0
28,2016-01-29,1338.0,605.0,645.0,898.0,134.0,479.0,389.0,261.0,404.0,16.0,803.0,6359,1330.0
29,2016-01-30,1369.0,912.0,824.0,1002.0,142.0,452.0,600.0,99.0,307.0,13.0,1285.0,4013,1369.0
30,2016-01-31,337.0,223.0,134.0,386.0,44.0,90.0,91.0,104.0,152.0,7.0,187.0,1709,531.0
31,2016-02-01,193.0,166.0,92.0,129.0,7.0,107.0,58.0,56.0,41.0,,94.0,1220,316.0
32,2016-02-02,189.0,126.0,112.0,149.0,6.0,104.0,85.0,23.0,57.0,2.0,157.0,1306,230.0
33,2016-02-03,283.0,85.0,170.0,231.0,32.0,82.0,35.0,110.0,91.0,10.0,133.0,1473,230.0
34,2016-02-04,354.0,160.0,188.0,163.0,2.0,68.0,60.0,96.0,77.0,2.0,128.0,1651,519.0
35,2016-02-05,839.0,451.0,570.0,614.0,82.0,378.0,290.0,95.0,312.0,8.0,424.0,4401,864.0
36,2016-02-06,1033.0,710.0,686.0,704.0,24.0,418.0,353.0,94.0,265.0,27.0,987.0,3242,1137.0
37,2016-02-07,324.0,97.0,213.0,317.0,36.0,66.0,47.0,63.0,146.0,32.0,249.0,1588,379.0
38,2016-02-08,303.0,159.0,222.0,212.0,30.0,115.0,101.0,66.0,67.0,18.0,151.0,1365,319.0
39,2016-02-09,287.0,201.0,158.0,210.0,30.0,108.0,85.0,67.0,134.0,12.0,133.0,1515,435.0
40,2016-02-10,1030.0,536.0,650.0,745.0,66.0,349.0,338.0,183.0,350.0,18.0,365.0,4401,1303.0
41,2016-02-11,327.0,196.0,223.0,333.0,36.0,126.0,79.0,56.0,121.0,2.0,198.0,1450,446.0
42,2016-02-12,650.0,564.0,543.0,836.0,63.0,307.0,296.0,197.0,237.0,3.0,651.0,3574,949.0
43,2016-02-13,1049.0,883.0,696.0,732.0,18.0,361.0,496.0,145.0,281.0,59.0,718.0,3286,1179.0
44,2016-02-14,283.0,278.0,127.0,319.0,31.0,79.0,80.0,54.0,123.0,19.0,130.0,1424,433.0
45,2016-02-15,310.0,173.0,204.0,177.0,25.0,115.0,95.0,54.0,107.0,,203.0,1319,310.0
46,2016-02-16,377.0,148.0,193.0,255.0,40.0,140.0,89.0,112.0,104.0,,177.0,1858,492.0
47,2016-02-17,466.0,241.0,184.0,511.0,59.0,166.0,99.0,99.0,165.0,7.0,200.0,1941,383.0
48,2016-02-18,334.0,220.0,196.0,275.0,30.0,158.0,127.0,134.0,187.0,5.0,109.0,1905,461.0
49,2016-02-19,944.0,655.0,517.0,771.0,98.0,409.0,388.0,212.0,368.0,15.0,613.0,4661,1038.0
50,2016-02-20,1096.0,852.0,837.0,756.0,78.0,540.0,454.0,200.0,332.0,27.0,878.0,3520,1089.0
51,2016-02-21,343.0,213.0,182.0,488.0,32.0,177.0,164.0,98.0,191.0,18.0,247.0,1822,508.0
52,2016-02-22,417.0,130.0,204.0,186.0,7.0,116.0,95.0,62.0,120.0,3.0,106.0,1404,378.0
53,2016-02-23,455.0,145.0,254.0,244.0,58.0,167.0,110.0,146.0,166.0,,201.0,1636,415.0
54,2016-02-24,458.0,209.0,264.0,324.0,25.0,193.0,173.0,88.0,157.0,15.0,197.0,2172,543.0
55,2016-02-25,604.0,293.0,441.0,321.0,50.0,93.0,175.0,132.0,130.0,,182.0,2168,518.0
56,2016-02-26,1243.0,791.0,722.0,913.0,100.0,470.0,424.0,201.0,328.0,35.0,797.0,5935,1420.0
57,2016-02-27,1124.0,926.0,969.0,976.0,71.0,505.0,694.0,153.0,329.0,33.0,1250.0,4725,1199.0
58,2016-02-28,446.0,271.0,256.0,361.0,45.0,117.0,122.0,146.0,214.0,12.0,312.0,1994,532.0
59,2016-02-29,292.0,140.0,204.0,290.0,30.0,142.0,133.0,87.0,119.0,13.0,181.0,1717,398.0
60,2016-03-01,323.0,172.0,206.0,203.0,12.0,109.0,98.0,100.0,111.0,2.0,249.0,1211,415.0
61,2016-03-02,457.0,176.0,182.0,228.0,9.0,144.0,136.0,69.0,90.0,,194.0,1666,437.0
62,2016-03-03,324.0,138.0,231.0,194.0,15.0,99.0,98.0,105.0,137.0,,94.0,1747,502.0
63,2016-03-04,1033.0,650.0,544.0,836.0,66.0,390.0,391.0,213.0,331.0,2.0,625.0,4052,1058.0
64,2016-03-05,1039.0,826.0,855.0,767.0,134.0,467.0,536.0,73.0,327.0,87.0,774.0,3675,1087.0
65,2016-03-06,316.0,212.0,225.0,368.0,16.0,141.0,71.0,166.0,135.0,25.0,265.0,1780,460.0
66,2016-03-07,305.0,212.0,179.0,218.0,39.0,198.0,178.0,64.0,256.0,18.0,143.0,1199,380.0
67,2016-03-08,486.0,238.0,206.0,262.0,31.0,94.0,244.0,76.0,121.0,,166.0,1810,598.0
