,visit_datetime,A,B,C,D,E,F,G,H,I
0,2016-01-01,73,45,5.0,80.0,17.0,4.0,10.0,18.0,13.0
1,2016-01-02,357,319,155.0,264.0,167.0,48.0,80.0,142.0,136.0
2,2016-01-03,422,373,80.0,190.0,156.0,28.0,112.0,136.0,91.0
3,2016-01-04,458,283,54.0,223.0,113.0,49.0,44.0,97.0,23.0
4,2016-01-05,632,293,26.0,128.0,79.0,43.0,37.0,54.0,20.0
5,2016-01-06,786,398,73.0,231.0,75.0,77.0,107.0,50.0,39.0
6,2016-01-07,785,441,112.0,294.0,105.0,46.0,98.0,89.0,27.0
7,2016-01-08,2613,1220,334.0,529.0,262.0,129.0,139.0,252.0,92.0
8,2016-01-09,2078,1256,345.0,677.0,400.0,246.0,297.0,424.0,158.0
9,2016-01-10,1675,1211,239.0,658.0,291.0,222.0,207.0,306.0,81.0
10,2016-01-11,1178,919,78.0,253.0,187.0,83.0,44.0,103.0,35.0
11,2016-01-12,961,517,115.0,258.0,160.0,62.0,34.0,143.0,73.0
12,2016-01-13,1634,673,187.0,323.0,124.0,134.0,86.0,113.0,49.0
13,2016-01-14,1883,618,174.0,216.0,163.0,111.0,94.0,134.0,60.0
14,2016-01-15,4823,2342,356.0,845.0,638.0,304.0,325.0,451.0,110.0
15,2016-01-16,3638,2015,347.0,1039.0,426.0,371.0,371.0,738.0,235.0
16,2016-01-17,1533,816,71.0,334.0,210.0,95.0,95.0,256.0,30.0
17,2016-01-18,1242,579,66.0,370.0,179.0,57.0,105.0,164.0,33.0
18,2016-01-19,1510,786,229.0,362.0,177.0,155.0,97.0,132.0,66.0
19,2016-01-20,2456,983,141.0,401.0,165.0,114.0,150.0,138.0,20.0
20,2016-01-21,2013,854,156.0,288.0,208.0,181.0,196.0,195.0,14.0
21,2016-01-22,5390,2428,434.0,1130.0,605.0,463.0,315.0,707.0,187.0
22,2016-01-23,4163,2785,588.0,1114.0,776.0,451.0,476.0,795.0,207.0
23,2016-01-24,1756,964,136.0,288.0,133.0,122.0,96.0,175.0,15.0
24,2016-01-25,1439,672,179.0,404.0,157.0,131.0,68.0,77.0,28.0
25,2016-01-26,1884,704,103.0,425.0,205.0,94.0,144.0,215.0,47.0
26,2016-01-27,2968,1009,181.0,496.0,276.0,180.0,174.0,225.0,30.0
27,2016-01-28,2419,869,170.0,349.0,257.0,203.0,121.0,186.0,60.0
28,2016-01-29,6652,2584,479.0,1369.0,598.0,476.0,389.0,781.0,150.0
29,2016-01-30,4223,2580,583.0,1338.0,889.0,450.0,598.0,1240.0,239.0
30,2016-01-31,1848,1041,115.0,302.0,218.0,90.0,94.0,185.0,19.0
31,2016-02-01,1254,484,73.0,201.0,166.0,107.0,58.0,92.0,21.0
32,2016-02-02,1306,416,88.0,200.0,126.0,104.0,85.0,155.0,24.0
33,2016-02-03,1570,540,131.0,299.0,85.0,82.0,35.0,126.0,41.0
34,2016-02-04,1700,735,137.0,364.0,153.0,68.0,60.0,126.0,58.0
35,2016-02-05,4509,1776,395.0,832.0,451.0,378.0,295.0,410.0,170.0
36,2016-02-06,3359,2077,510.0,1013.0,700.0,418.0,353.0,965.0,173.0
37,2016-02-07,1694,821,145.0,285.0,95.0,66.0,47.0,243.0,80.0
38,2016-02-08,1444,587,155.0,305.0,152.0,115.0,101.0,151.0,61.0
39,2016-02-09,1583,750,146.0,292.0,196.0,108.0,85.0,115.0,18.0
40,2016-02-10,4572,2370,453.0,1061.0,525.0,349.0,338.0,362.0,185.0
41,2016-02-11,1517,854,167.0,329.0,193.0,126.0,75.0,182.0,67.0
42,2016-02-12,3748,1992,424.0,640.0,553.0,307.0,296.0,639.0,104.0
43,2016-02-13,3414,2154,438.0,1054.0,876.0,361.0,502.0,699.0,258.0
44,2016-02-14,1478,863,100.0,309.0,273.0,79.0,80.0,124.0,31.0
45,2016-02-15,1380,594,158.0,308.0,156.0,115.0,95.0,195.0,46.0
46,2016-02-16,1988,840,159.0,371.0,144.0,138.0,85.0,172.0,34.0
47,2016-02-17,2061,1050,121.0,466.0,226.0,166.0,101.0,200.0,60.0
48,2016-02-18,2029,919,153.0,331.0,220.0,158.0,127.0,107.0,37.0
49,2016-02-19,4908,2168,442.0,926.0,636.0,409.0,388.0,603.0,71.0
50,2016-02-20,3747,2131,559.0,1085.0,836.0,540.0,456.0,825.0,280.0
51,2016-02-21,1936,1155,125.0,338.0,200.0,177.0,164.0,237.0,54.0
52,2016-02-22,1442,667,174.0,405.0,124.0,113.0,93.0,102.0,35.0
53,2016-02-23,1729,825,183.0,525.0,139.0,161.0,110.0,194.0,60.0
54,2016-02-24,2267,1019,231.0,453.0,192.0,193.0,170.0,193.0,41.0
55,2016-02-25,2318,938,293.0,578.0,287.0,93.0,175.0,159.0,140.0
56,2016-02-26,6142,2595,469.0,1215.0,784.0,470.0,424.0,785.0,241.0
57,2016-02-27,4888,2487,647.0,1128.0,916.0,505.0,697.0,1215.0,299.0
58,2016-02-28,2128,1088,155.0,451.0,264.0,117.0,129.0,306.0,107.0
59,2016-02-29,1769,777,177.0,275.0,137.0,142.0,133.0,176.0,27.0
60,2016-03-01,1284,712,134.0,341.0,168.0,109.0,98.0,247.0,70.0
61,2016-03-02,1686,746,99.0,449.0,176.0,144.0,136.0,192.0,85.0
62,2016-03-03,1822,833,219.0,339.0,135.0,99.0,98.0,88.0,8.0
63,2016-03-04,4198,2196,428.0,1035.0,621.0,382.0,393.0,625.0,134.0
64,2016-03-05,3923,2173,599.0,1026.0,820.0,467.0,534.0,762.0,244.0
65,2016-03-06,1968,943,183.0,299.0,209.0,141.0,71.0,240.0,50.0
66,2016-03-07,1296,840,135.0,311.0,212.0,198.0,172.0,140.0,41.0
67,2016-03-08,1853,941,172.0,515.0,230.0,94.0,244.0,161.0,34.0
68,2016-03-09,2127,1111,253.0,520.0,331.0,157.0,180.0,225.0,20.0
69,2016-03-10,2140,1051,188.0,436.0,249.0,264.0,117.0,159.0,83.0
70,2016-03-11,5758,2919,835.0,1158.0,745.0,435.0,507.0,947.0,189.0
71,2016-03-12,4481,2897,659.0,1582.0,848.0,607.0,520.0,1086.0,297.0
72,2016-03-13,2316,1268,185.0,409.0,289.0,174.0,141.0,326.0,26.0
73,2016-03-14,1893,824,158.0,450.0,199.0,184.0,161.0,230.0,47.0
74,2016-03-15,2551,1059,282.0,550.0,211.0,207.0,118.0,246.0,82.0
75,2016-03-16,2925,1395,194.0,570.0,283.0,351.0,149.0,352.0,133.0
76,2016-03-17,3008,1143,329.0,640.0,354.0,233.0,149.0,394.0,105.0
77,2016-03-18,7988,3361,1027.0,1961.0,930.0,838.0,488.0,1105.0,344.0
78,2016-03-19,5841,3075,741.0,1711.0,881.0,677.0,597.0,926.0,328.0
79,2016-03-20,4188,2139,592.0,884.0,645.0,323.0,312.0,481.0,193.0
80,2016-03-21,2385,1098,176.0,611.0,237.0,148.0,211.0,335.0,76.0
81,2016-03-22,2765,1364,286.0,665.0,443.0,270.0,165.0,394.0,50.0
82,2016-03-23,4620,1888,313.0,805.0,412.0,424.0,220.0,429.0,106.0
83,2016-03-24,4479,2280,387.0,776.0,511.0,357.0,197.0,373.0,217.0
84,2016-03-25,12248,4669,1088.0,2517.0,1167.0,1219.0,652.0,1639.0,420.0
85,2016-03-26,5765,3381,888.0,1554.0,992.0,683.0,522.0,991.0,416.0
86,2016-03-27,3112,1436,255.0,566.0,362.0,260.0,88.0,342.0,60.0
87,2016-03-28,3684,1530,308.0,551.0,327.0,232.0,285.0,412.0,113.0
88,2016-03-29,3930,1522,253.0,812.0,324.0,222.0,189.0,396.0,107.0
89,2016-03-30,5727,2085,335.0,942.0,486.0,256.0,224.0,433.0,103.0
90,2016-03-31,4138,1273,258.0,640.0,352.0,214.0,101.0,288.0,60.0
91,2016-04-01,5804,1935,490.0,982.0,500.0,377.0,324.0,636.0,136.0
92,2016-04-02,3225,1846,420.0,819.0,623.0,279.0,478.0,676.0,174.0
93,2016-04-03,1645,890,104.0,245.0,278.0,64.0,54.0,214.0,10.0
94,2016-04-04,1657,707,178.0,383.0,220.0,78.0,124.0,119.0,34.0
95,2016-04-05,2186,902,210.0,381.0,271.0,142.0,156.0,124.0,50.0
96,2016-04-06,2606,879,156.0,309.0,342.0,101.0,151.0,305.0,63.0
97,2016-04-07,2512,884,62.0,355.0,200.0,215.0,100.0,125.0,70.0
98,2016-04-08,6653,2741,577.0,1332.0,772.0,338.0,439.0,992.0,390.0
99,2016-04-09,3722,1848,449.0,1015.0,532.0,381.0,498.0,777.0,287.0
